Emotion,Round,Condition,Location,Mean_Pressure,Max_Pressure,Pressure_Variance,Pressure_Gradient,Median_Force,Contact_Area,Rate_of_Pressure_Change,Pressure_Std,Num_Touches,Max_Touch_Duration,Min_Touch_Duration,Mean_Touch_Duration,Estimated_Sampling_Rate,Max_Touch_Area,PN
Gratitude,round3,torso,torso,6.145074763213743,10.617729151412073,1.1369326216083329,0.1848961574059257,5.888552121047355,0,0.1848961574059257,1.0662704261154077,1,0.044,0.044,0.044,22.727272727272727,0,22
Empathy,round3,torso,torso,6.219928371499488,10.656938392896892,1.4375658860055176,0.1873987045385855,5.917662978236559,0,0.1873987045385855,1.198985356877021,1,0.0458333333333333,0.0458333333333333,0.0458333333333333,21.818181818181817,0,22
attention,round3,torso,torso,5.880958541466658,9.969767837546303,1.0683036489657776,0.1656918367964931,5.556802656039233,0,0.1656918367964931,1.0335877558126243,0,0,0,0,28.181818181818183,0,22
Sadness,round2,torso,torso,6.317343845457772,13.93370302164905,2.7585791975560814,0.1754084950019288,5.736879872554844,1,0.1754084950019288,1.660897106251944,3,0.12,0.04,0.08,25,1,22
Empathy,round1,torso,torso,6.532826406147343,13.999835273439434,3.277461718659456,0.1716503475786651,5.764671400236334,1,0.1716503475786651,1.8103761262951563,3,0.1009174311926605,0.0336391437308868,0.0672782874617737,29.727272727272727,1,22
Anger,round3,torso,torso,5.953239294492519,11.48613225612436,1.3071805244139911,0.1699418166829725,5.59861288801687,1,0.1699418166829725,1.1433199571484751,1,0.0387323943661971,0.0387323943661971,0.0387323943661971,25.818181818181817,1,28
Anger,round2,torso,torso,6.122769006885186,10.588765670762871,1.3857022578948486,0.1686352893441723,5.646022067506648,0,0.1686352893441723,1.1771585525726127,3,0.0336391437308868,0.0336391437308868,0.0336391437308868,29.727272727272727,0,28
Gratitude,round2,torso,torso,6.0367612302522335,11.340962838538138,1.5099983013842253,0.1695212083022243,5.644078240166385,1,0.1695212083022243,1.2288198815872995,1,0.0378006872852233,0.0378006872852233,0.0378006872852233,26.454545454545453,1,28
Anger,round1,torso,torso,6.047081691651625,10.904432983735433,1.1677474040493938,0.1674975239995659,5.683552246330711,0,0.1674975239995659,1.0806236181249205,2,0.0349206349206349,0.0349206349206349,0.0349206349206349,28.63636363636364,0,28
Happiness,round1,torso,torso,5.756435647073858,8.08227461591505,0.5150492096607535,0.1615995332029754,5.524646740939334,0,0.1615995332029754,0.7176692898966441,0,0,0,0,26.363636363636363,0,28
Comfort,round2,torso,torso,6.517885755191983,12.68447567444642,2.288118489331429,0.1795584960925938,5.929856551454427,1,0.1795584960925938,1.512652798672395,4,0.0372881355932203,0.0372881355932203,0.0372881355932203,26.818181818181817,1,28
Love,round2,torso,torso,6.076410794175462,9.19219340339218,1.1037081061661205,0.1758455329348002,5.671473314743897,0,0.1758455329348002,1.0505751311382354,0,0,0,0,25.818181818181817,0,28
attention,round2,torso,torso,6.142608684302928,11.48717454084301,1.464618156362946,0.1709761210981941,5.780819363437226,1,0.1709761210981941,1.2102140952587463,1,0.0743243243243243,0.0743243243243243,0.0743243243243243,26.90909090909091,1,28
